simp,pinyin,meaning,picture,simp_right,pinyin_right,meaning_right,picture_right
发,fa4,hair; Taiwan pr. [fa3],,,,,
之间,zhi1 jian1,between; among; inter-,,,,,
变成,bian4 cheng2,to change into; to turn into; to become,,,,,
倒,dao4,to place upside down; to invert; to pour; to throw out; to move backwards; however; actually; as a matter of fact; contrary to expectation,,,,,
万,wan4,ten thousand; a great number,,,,,
生命,sheng1 ming4,life (as the characteristic of living beings); living being; creature; CL:個|个[ge4]條|条[tiao2],,,,,
靠,kao4,to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar); traditional military costume drama where the performers wear armor (old),,,,,
生,sheng1,to be born; to give birth; life; to grow; raw; uncooked; student,,,,,
外面,wai4 mian4,outside (also pr. [wai4 mian5] for this sense); surface; exterior; external appearance,,,,,
声音,sheng1 yin1,voice; sound; CL:個|个[ge4],,,,,
醒,xing3,to wake up; to be awake; to become aware; to sober up; to come to,,,,,
分,fen4,part; share; ingredient; component,,,,,
虽然,sui1 ran2,although; even though; even if,,,,,
重,zhong4,heavy; serious; to attach importance to,,,,,
季,ji4,season; the last month of a season; fourth or youngest amongst brothers; classifier for seasonal crop yields,,,,,
使,shi3,to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger,,,,,
身体,shen1 ti3,the body; ones health; CL:具[ju4]個|个[ge4]; in person,,,,,
片,pian4,thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices，tablets，tract of land，area of water; classifier for CDs，movies，DVDs etc; used with numeral 一[yi1]: classifier for scenario，scene，feeling，atmosphere，sound etc; Kangxi radical 91,,,,,
黑,hei1,black; dark; sinister; secret; shady; illegal; to hide (sth) away; to vilify; (loanword) to hack (computing),,,,,
身,shen1,body; life; oneself; personally; ones morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit，twinset; Kangxi radical 158,,,,,
突然,tu1 ran2,sudden; abrupt; unexpected,,,,,
声,sheng1,sound; voice; tone; noise; reputation; classifier for sounds,,,,,
终于,zhong1 yu2,at last; in the end; finally; eventually,,,,,
口,kou3,mouth; classifier for things with mouths (people，domestic animals，cannons，wells etc); classifier for bites or mouthfuls,,,,,
休息,xiu1 xi5,rest; to rest,,,,,
碰,peng4,old variant of 碰[peng4],,,,,
子,zi5,(noun suffix),,,,,
头发,tou2 fa5,hair (on the head),,,,,
藏,zang4,storehouse; depository; Buddhist or Taoist scripture,,,,,
情,qing2,feeling; emotion; passion; situation,,,,,
替,ti4,to substitute for; to take the place of; to replace; for; on behalf of; to stand in for,,,,,
面,mian4,flour; noodles; (of food) soft (not crunchy); (slang) (of a person) ineffectual; spineless,,,,,
飞,fei1,to fly,,,,,
气,qi4,gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi,,,,,
脚,jue2,variant of 角[jue2]; role,,,,,
线,xian4,thread; string; wire; line; CL:條|条[tiao2]股[gu3]根[gen1]; (after a number) tier (unofficial ranking of a Chinese city),,,,,
光,guang1,light; ray; CL:道[dao4]; bright; only; merely; to use up,,,,,
道,dao4,road; path; CL:條|条[tiao2]股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers，cracks etc)，barriers (walls，doors etc)，questions (in an exam etc)，commands，courses in a meal，steps in a process; (old) administrative division (similar to province in Tang times),,,,,
自,zi4,self; oneself; from; since; naturally; surely,,,,,
照,zhao4,according to; in accordance with; to shine; to illuminate; to reflect; to look at (ones reflection); to take (a photo); photo; as requested; as before,,,,,
眼,yan3,eye; small hole; crux (of a matter); CL:隻|只[zhi1]雙|双[shuang1]; classifier for big hollow things (wells，stoves，pots etc),,,,,
边,bian5,suffix of a noun of locality,,,,,
双,shuang1,two; double; pair; both; even (number),,,,,
收,shou1,to receive; to accept; to collect; to put away; to restrain; to stop; in care of (used on address line after name),,,,,
力量,li4 liang5,power; force; strength,,,,,
日子,ri4 zi5,day; a (calendar) date; days of ones life,,,,,
陪,pei2,to accompany; to keep sb company; to assist; old variant of 賠|赔[pei2],,,,,
尽,jin4,to use up; to exhaust; to end; to finish; to the utmost; exhausted; finished; to the limit (of sth); all; entirely,,,,,
养,yang3,to raise (animals); to bring up (children); to keep (pets); to support; to give birth,,,,,
雷,lei2,thunder; mine (weapon); (Internet slang) terrifying; terrific,,,,,
清,qing1,clear; distinct; quiet; just and honest; pure; to settle or clear up; to clean up or purge,,,,,
白,bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera,,,,,
西,xi1,west,,,,,
